season,matchweek,home_club,away_club,final_score,goal_club,goal_score,goal_scorer,minute
2003-2004,6,Fulham,Man City,2:2,away,0:1,Nicolas Anelka,46
2003-2004,6,Fulham,Man City,2:2,home,1:1,Steed Malbranque,73
2003-2004,6,Fulham,Man City,2:2,home,2:1,Louis Saha,79
2003-2004,6,Fulham,Man City,2:2,away,2:2,Paulo Wanchope,90
2003-2004,6,Leeds,Birmingham,0:2,away,0:1,Robbie Savage,79
2003-2004,6,Leeds,Birmingham,0:2,away,0:2,Mikael Forssell,84
2003-2004,6,Aston Villa,Charlton,2:1,home,1:0,Alpay Ozalan,37
2003-2004,6,Aston Villa,Charlton,2:1,home,2:0,Jlloyd Samuel,52
2003-2004,6,Aston Villa,Charlton,2:1,away,2:1,Kevin Lisbie,86
2003-2004,6,Middlesbrough,Everton,1:0,home,1:0,Joseph Desire Job,6
2003-2004,7,Arsenal,Newcastle,3:2,home,1:0,Thierry Henry,18
2003-2004,7,Arsenal,Newcastle,3:2,away,1:1,Laurent Robert,26
2003-2004,7,Arsenal,Newcastle,3:2,home,2:1,Gilberto Silva,67
2003-2004,7,Arsenal,Newcastle,3:2,away,2:2,Olivier Bernard,71
2003-2004,7,Arsenal,Newcastle,3:2,home,3:2,Thierry Henry,80
2003-2004,7,Chelsea,Aston Villa,1:0,home,1:0,Jimmy Floyd Hasselbaink,44
2003-2004,7,Leicester,Man Utd,1:4,away,0:1,Roy Keane,15
2003-2004,7,Leicester,Man Utd,1:4,away,0:2,Ruud Van Nistelrooy,16
2003-2004,7,Leicester,Man Utd,1:4,away,0:3,Ruud Van Nistelrooy,44
2003-2004,7,Leicester,Man Utd,1:4,away,0:4,Ruud Van Nistelrooy,57
2003-2004,7,Leicester,Man Utd,1:4,home,1:4,Frank Sinclair,73
2003-2004,7,Southampton,Middlesbrough,0:1,away,0:1,Malcolm Christie,13
2003-2004,7,Birmingham,Portsmouth,2:0,home,1:0,Stephen Clemence,21
2003-2004,7,Birmingham,Portsmouth,2:0,home,2:0,Stan Lazaridis,50
2003-2004,7,Bolton,Wolves,1:1,away,0:1,Alex Rae,30
2003-2004,7,Bolton,Wolves,1:1,home,1:1,Kevin Davies,85
2003-2004,7,Charlton,Liverpool,3:2,away,0:1,Vladimir Smicer,14
2003-2004,7,Charlton,Liverpool,3:2,home,1:1,Kevin Lisbie,31
2003-2004,7,Charlton,Liverpool,3:2,home,2:1,Kevin Lisbie,43
2003-2004,7,Charlton,Liverpool,3:2,away,2:2,Michael Owen,51
2003-2004,7,Charlton,Liverpool,3:2,home,3:2,Kevin Lisbie,83
2003-2004,7,Blackburn,Fulham,0:2,away,0:1,Luis Boa Morte,4
2003-2004,7,Blackburn,Fulham,0:2,away,0:2,Louis Saha,55
2003-2004,7,Everton,Leeds,4:0,home,1:0,Steve Watson,26
2003-2004,7,Everton,Leeds,4:0,home,2:0,Steve Watson,36
2003-2004,7,Everton,Leeds,4:0,home,3:0,Duncan Ferguson,38
2003-2004,7,Everton,Leeds,4:0,home,4:0,Steve Watson,51
2003-2004,8,Liverpool,Arsenal,1:2,home,1:0,Harry Kewell,14
2003-2004,8,Liverpool,Arsenal,1:2,away,1:1,Sami Hyypia,31
2003-2004,8,Liverpool,Arsenal,1:2,away,1:2,Robert Pires,68
2003-2004,8,Leeds,Blackburn,2:1,home,1:0,Seth Johnson,10
2003-2004,8,Leeds,Blackburn,2:1,home,2:0,Seth Johnson,26
2003-2004,8,Leeds,Blackburn,2:1,away,2:1,Dino Baggio,85
2003-2004,8,Spurs,Everton,3:0,home,1:0,Frederic Kanoute,42
2003-2004,8,Spurs,Everton,3:0,home,2:0,Gustavo Poyet,45
2003-2004,8,Spurs,Everton,3:0,home,3:0,Robbie Keane,48
2003-2004,8,Fulham,Leicester,2:0,home,1:0,Luis Boa Morte,35
2003-2004,8,Fulham,Leicester,2:0,home,2:0,Luis Boa Morte,72
2003-2004,8,Newcastle,Southampton,1:0,home,1:0,Alan Shearer,43
2003-2004,8,Wolves,Man City,1:0,home,1:0,Colin Cameron,74
2003-2004,8,Man Utd,Birmingham,3:0,home,1:0,Ruud Van Nistelrooy,35
2003-2004,8,Man Utd,Birmingham,3:0,home,2:0,Paul Scholes,56
2003-2004,8,Man Utd,Birmingham,3:0,home,3:0,Ryan Giggs,81
2003-2004,8,Portsmouth,Charlton,1:2,home,1:0,Teddy Sheringham,33
2003-2004,8,Portsmouth,Charlton,1:2,away,1:1,Jonathan Fortune,76
2003-2004,8,Portsmouth,Charlton,1:2,away,1:2,Shaun Bartlett,89
2003-2004,8,Middlesbrough,Chelsea,1:2,away,0:1,Eidur Gudjohnsen,16
2003-2004,8,Middlesbrough,Chelsea,1:2,home,1:1,Szilard Nemeth,45
2003-2004,8,Middlesbrough,Chelsea,1:2,away,1:2,Hernan Crespo,87
2003-2004,8,Aston Villa,Bolton,1:1,away,0:1,Kevin Nolan,45
2003-2004,8,Aston Villa,Bolton,1:1,home,1:1,Juan Pablo Angel,57
2003-2004,9,Leeds,Man Utd,0:1,away,0:1,Roy Keane,81
2003-2004,9,Middlesbrough,Newcastle,0:1,away,0:1,Shola Ameobi,21
2003-2004,9,Man City,Bolton,6:2,away,0:1,Kevin Nolan,25
2003-2004,9,Man City,Bolton,6:2,home,1:1,Shaun Wright Phillips,27
2003-2004,9,Man City,Bolton,6:2,home,2:1,Sylvain Distin,48
2003-2004,9,Man City,Bolton,6:2,home,3:1,Shaun Wright Phillips,56
2003-2004,9,Man City,Bolton,6:2,home,4:1,Nicolas Anelka,58
2003-2004,9,Man City,Bolton,6:2,away,4:2,Ivan Campo,60
2003-2004,9,Man City,Bolton,6:2,home,5:2,Nicolas Anelka,72
2003-2004,9,Man City,Bolton,6:2,home,6:2,Claudio Reyna,84
2003-2004,9,Arsenal,Chelsea,2:1,home,1:0,Edu Gaspar,5
2003-2004,9,Arsenal,Chelsea,2:1,away,1:1,Hernan Crespo,8
2003-2004,9,Arsenal,Chelsea,2:1,home,2:1,Thierry Henry,75
2003-2004,9,Portsmouth,Liverpool,1:0,home,1:0,Patrik Berger,4
2003-2004,9,Leicester,Spurs,1:2,home,1:0,Paul Dickov,38
2003-2004,9,Leicester,Spurs,1:2,away,1:1,Mbulelo Mabizela,79
2003-2004,9,Leicester,Spurs,1:2,away,1:2,Frederic Kanoute,90
2003-2004,9,Blackburn,Charlton,0:1,away,0:1,Hermann Hreidarsson,32
2003-2004,10,Liverpool,Leeds,3:1,home,1:0,Michael Owen,35
2003-2004,10,Liverpool,Leeds,3:1,away,1:1,Alan Smith,42
2003-2004,10,Liverpool,Leeds,3:1,home,2:1,Danny Murphy,57
2003-2004,10,Liverpool,Leeds,3:1,home,3:1,Florent Sinama Pongolle,84
2003-2004,10,Bolton,Birmingham,0:1,away,0:1,Mikael Forssell,31
2003-2004,10,Wolves,Leicester,4:3,away,0:1,Les Ferdinand,12
2003-2004,10,Wolves,Leicester,4:3,away,0:2,Les Ferdinand,15
2003-2004,10,Wolves,Leicester,4:3,away,0:3,Riccardo Scimeca,35
2003-2004,10,Wolves,Leicester,4:3,home,1:3,Colin Cameron,52
2003-2004,10,Wolves,Leicester,4:3,home,2:3,Colin Cameron,60
2003-2004,10,Wolves,Leicester,4:3,home,3:3,Alex Rae,68
2003-2004,10,Wolves,Leicester,4:3,home,4:3,Henri Camara,86
2003-2004,10,Man Utd,Fulham,1:3,away,0:1,Lee Clark,3
2003-2004,10,Man Utd,Fulham,1:3,home,1:1,Diego Forlan,45
2003-2004,10,Man Utd,Fulham,1:3,away,1:2,Steed Malbranque,66
2003-2004,10,Man Utd,Fulham,1:3,away,1:3,Junichi Inamoto,79
2003-2004,10,Southampton,Blackburn,2:0,home,1:0,James Beattie,59
2003-2004,10,Southampton,Blackburn,2:0,home,2:0,Leandre Griffit,87
2003-2004,10,Newcastle,Portsmouth,3:0,home,1:0,Gary Speed,17
2003-2004,10,Newcastle,Portsmouth,3:0,home,2:0,Alan Shearer,28
2003-2004,10,Newcastle,Portsmouth,3:0,home,3:0,Shola Ameobi,61
2003-2004,10,Chelsea,Man City,1:0,home,1:0,Jimmy Floyd Hasselbaink,34
2003-2004,10,Charlton,Arsenal,1:1,home,1:0,Paolo Di Canio,28
2003-2004,10,Charlton,Arsenal,1:1,away,1:1,Thierry Henry,39
2003-2004,11,Leeds,Arsenal,1:4,away,0:1,Thierry Henry,8
2003-2004,11,Leeds,Arsenal,1:4,away,0:2,Robert Pires,17
2003-2004,11,Leeds,Arsenal,1:4,away,0:3,Thierry Henry,33
2003-2004,11,Leeds,Arsenal,1:4,away,0:4,Gilberto Silva,50
2003-2004,11,Leeds,Arsenal,1:4,home,1:4,Alan Smith,64
2003-2004,11,Newcastle,Aston Villa,1:1,away,0:1,Dion Dublin,11
2003-2004,11,Newcastle,Aston Villa,1:1,home,1:1,Laurent Robert,45
2003-2004,11,Spurs,Bolton,0:1,away,0:1,Kevin Nolan,73
2003-2004,11,Everton,Chelsea,0:1,away,0:1,Adrian Mutu,49
2003-2004,11,Man Utd,Portsmouth,3:0,home,1:0,Diego Forlan,37
2003-2004,11,Man Utd,Portsmouth,3:0,home,2:0,Cristiano Ronaldo,80
2003-2004,11,Man Utd,Portsmouth,3:0,home,3:0,Roy Keane,82
2003-2004,11,Southampton,Man City,0:2,away,0:1,Robbie Fowler,4
2003-2004,11,Southampton,Man City,0:2,away,0:2,Paulo Wanchope,85
2003-2004,11,Middlesbrough,Wolves,2:0,home,1:0,Gaizka Mendieta,73
2003-2004,11,Middlesbrough,Wolves,2:0,home,2:0,Juninho Paulista,83
2003-2004,11,Fulham,Liverpool,1:2,away,0:1,Emile Heskey,17
2003-2004,11,Fulham,Liverpool,1:2,home,1:1,Louis Saha,40
2003-2004,11,Fulham,Liverpool,1:2,away,1:2,Danny Murphy,89
2003-2004,11,Leicester,Blackburn,2:0,home,1:0,Marcus Bent,75
2003-2004,11,Leicester,Blackburn,2:0,home,2:0,Steve Howey,82
2003-2004,11,Birmingham,Charlton,1:2,away,0:1,Matt Holland,11
2003-2004,11,Birmingham,Charlton,1:2,away,0:2,Matt Holland,59
2003-2004,11,Birmingham,Charlton,1:2,home,1:2,Christophe Dugarry,64
2003-2004,12,Wolves,Birmingham,1:1,away,0:1,Mikael Forssell,49
2003-2004,12,Wolves,Birmingham,1:1,home,1:1,Steffen Iversen,66
2003-2004,12,Aston Villa,Middlesbrough,0:2,away,0:1,Boudewijn Zenden,30
2003-2004,12,Aston Villa,Middlesbrough,0:2,away,0:2,Michael Ricketts,49
2003-2004,12,Charlton,Fulham,3:1,home,1:0,Graham Stuart,10
2003-2004,12,Charlton,Fulham,3:1,home,2:0,Jonatan Johansson,69
2003-2004,12,Charlton,Fulham,3:1,home,3:0,Jonatan Johansson,76
2003-2004,12,Charlton,Fulham,3:1,away,3:1,Sean Davis,89
2003-2004,12,Portsmouth,Leeds,6:1,home,1:0,Dejan Stefanovic,17
2003-2004,12,Portsmouth,Leeds,6:1,away,1:1,Alan Smith,19
2003-2004,12,Portsmouth,Leeds,6:1,home,2:1,Gary O'Neil,45
2003-2004,12,Portsmouth,Leeds,6:1,home,3:1,Hayden Foxe,63
2003-2004,12,Portsmouth,Leeds,6:1,home,4:1,Gary O'Neil,71
2003-2004,12,Portsmouth,Leeds,6:1,home,5:1,Patrik Berger,75
2003-2004,12,Portsmouth,Leeds,6:1,home,6:1,Yakubu Aiyegbeni,86
2003-2004,12,Arsenal,Spurs,2:1,away,0:1,Darren Anderton,5
2003-2004,12,Arsenal,Spurs,2:1,home,1:1,Robert Pires,69
2003-2004,12,Arsenal,Spurs,2:1,home,2:1,Freddie Ljungberg,79
2003-2004,12,Liverpool,Man Utd,1:2,away,0:1,Ryan Giggs,59
2003-2004,12,Liverpool,Man Utd,1:2,away,0:2,Ryan Giggs,70
2003-2004,12,Liverpool,Man Utd,1:2,home,1:2,Harry Kewell,76
2003-2004,12,Man City,Leicester,0:3,away,0:1,Jordan Stewart,12
2003-2004,12,Man City,Leicester,0:3,away,0:2,Paul Dickov,53
2003-2004,12,Man City,Leicester,0:3,away,0:3,Marcus Bent,58
2003-2004,12,Chelsea,Newcastle,5:0,home,1:0,Glen Johnson,25
2003-2004,12,Chelsea,Newcastle,5:0,home,2:0,Hernan Crespo,40
2003-2004,12,Chelsea,Newcastle,5:0,home,3:0,Frank Lampard,42
2003-2004,12,Chelsea,Newcastle,5:0,home,4:0,Damien Duff,78
2003-2004,12,Chelsea,Newcastle,5:0,home,5:0,Eidur Gudjohnsen,84
2003-2004,12,Blackburn,Everton,2:1,home,1:0,Markus Babbel,6
2003-2004,12,Blackburn,Everton,2:1,home,2:0,Dwight Yorke,13
2003-2004,12,Blackburn,Everton,2:1,away,2:1,Tomasz Radzinski,49
2003-2004,13,Man Utd,Blackburn,2:1,home,1:0,Ruud Van Nistelrooy,24
2003-2004,13,Man Utd,Blackburn,2:1,home,2:0,Kleberson,38
2003-2004,13,Man Utd,Blackburn,2:1,away,2:1,Brett Emerton,62
2003-2004,13,Leeds,Bolton,0:2,away,0:1,Kevin Davies,16
2003-2004,13,Leeds,Bolton,0:2,away,0:2,Stelios Giannakopoulos,17
2003-2004,13,Southampton,Chelsea,0:1,away,0:1,Mario Melchiot,47
2003-2004,13,Birmingham,Arsenal,0:3,away,0:1,Freddie Ljungberg,4
2003-2004,13,Birmingham,Arsenal,0:3,away,0:2,Dennis Bergkamp,80
2003-2004,13,Birmingham,Arsenal,0:3,away,0:3,Robert Pires,88
2003-2004,13,Newcastle,Man City,3:0,home,1:0,Shola Ameobi,57
2003-2004,13,Newcastle,Man City,3:0,home,2:0,Alan Shearer,77
2003-2004,13,Newcastle,Man City,3:0,home,3:0,Alan Shearer,85
2003-2004,13,Everton,Wolves,2:0,home,1:0,Tomasz Radzinski,16
2003-2004,13,Everton,Wolves,2:0,home,2:0,Kevin Kilbane,19
2003-2004,13,Leicester,Charlton,1:1,home,1:0,Les Ferdinand,39
2003-2004,13,Leicester,Charlton,1:1,away,1:1,Paolo Di Canio,84
2003-2004,13,Spurs,Aston Villa,2:1,away,0:1,Marcus Allback,66
2003-2004,13,Spurs,Aston Villa,2:1,home,1:1,Rohan Ricketts,78
2003-2004,13,Spurs,Aston Villa,2:1,home,2:1,Robbie Keane,81
2003-2004,13,Fulham,Portsmouth,2:0,home,1:0,Louis Saha,30
2003-2004,13,Fulham,Portsmouth,2:0,home,2:0,Louis Saha,33
2003-2004,14,Wolves,Newcastle,1:1,home,1:0,Nathan Blake,27
2003-2004,14,Wolves,Newcastle,1:1,away,1:1,Alan Shearer,31
2003-2004,14,Aston Villa,Southampton,1:0,home,1:0,Dion Dublin,45
2003-2004,14,Blackburn,Spurs,1:0,home,1:0,Vratislav Gresko,83
2003-2004,14,Bolton,Everton,2:0,home,1:0,Per Frandsen,26
2003-2004,14,Bolton,Everton,2:0,home,2:0,Youri Djorkaeff,46
2003-2004,14,Charlton,Leeds,0:1,away,0:1,James Milner,9
2003-2004,14,Portsmouth,Leicester,0:2,away,0:1,Les Ferdinand,31
2003-2004,14,Portsmouth,Leicester,0:2,away,0:2,Marcus Bent,59
2003-2004,14,Man City,Middlesbrough,0:1,away,0:1,Jihai Sun,33
2003-2004,14,Liverpool,Birmingham,3:1,away,0:1,Mikael Forssell,33
2003-2004,14,Liverpool,Birmingham,3:1,home,1:1,Steven Gerrard,35
2003-2004,14,Liverpool,Birmingham,3:1,home,2:1,Harry Kewell,69
2003-2004,14,Liverpool,Birmingham,3:1,home,3:1,Emile Heskey,78
2003-2004,14,Chelsea,Man Utd,1:0,home,1:0,Frank Lampard,30
2003-2004,15,Newcastle,Liverpool,1:1,away,0:1,Danny Murphy,6
2003-2004,15,Newcastle,Liverpool,1:1,home,1:1,Alan Shearer,63
2003-2004,15,Spurs,Wolves,5:2,home,1:0,Robbie Keane,29
2003-2004,15,Spurs,Wolves,5:2,away,1:1,Paul Ince,30
2003-2004,15,Spurs,Wolves,5:2,home,2:1,Frederic Kanoute,50
2003-2004,15,Spurs,Wolves,5:2,home,3:1,Robbie Keane,75
2003-2004,15,Spurs,Wolves,5:2,home,4:1,Robbie Keane,83
2003-2004,15,Spurs,Wolves,5:2,away,4:2,Alex Rae,84
2003-2004,15,Spurs,Wolves,5:2,home,5:2,Stephane Dalmat,90
2003-2004,15,Leicester,Arsenal,1:1,away,0:1,Gilberto Silva,60
2003-2004,15,Leicester,Arsenal,1:1,home,1:1,Craig Hignett,90+3
2003-2004,15,Man Utd,Aston Villa,4:0,home,1:0,Ruud Van Nistelrooy,16
2003-2004,15,Man Utd,Aston Villa,4:0,home,2:0,Ruud Van Nistelrooy,45
2003-2004,15,Man Utd,Aston Villa,4:0,home,3:0,Diego Forlan,90
2003-2004,15,Man Utd,Aston Villa,4:0,home,4:0,Diego Forlan,90+1
2003-2004,15,Birmingham,Blackburn,0:4,away,0:1,Barry Ferguson,66
2003-2004,15,Birmingham,Blackburn,0:4,away,0:2,Lucas Neill,68
2003-2004,15,Birmingham,Blackburn,0:4,away,0:3,Tugay Kerimoglu,82
2003-2004,15,Birmingham,Blackburn,0:4,away,0:4,Paul Gallagher,88
2003-2004,15,Fulham,Bolton,2:1,away,0:1,Kevin Davies,53
2003-2004,15,Fulham,Bolton,2:1,home,1:1,Sean Davis,75
2003-2004,15,Fulham,Bolton,2:1,home,2:1,Facundo Sava,76
2003-2004,15,Leeds,Chelsea,1:1,home,1:0,Jermaine Pennant,18
2003-2004,15,Leeds,Chelsea,1:1,away,1:1,Damien Duff,70
2003-2004,15,Southampton,Charlton,3:2,home,1:0,Michael Svensson,6
2003-2004,15,Southampton,Charlton,3:2,home,2:0,Brett Ormerod,45
2003-2004,15,Southampton,Charlton,3:2,away,2:1,Scott Parker,46
2003-2004,15,Southampton,Charlton,3:2,away,2:2,Scott Parker,65
2003-2004,15,Southampton,Charlton,3:2,home,3:2,Brett Ormerod,86
2003-2004,16,Leicester,Birmingham,0:2,away,0:1,Clinton Morrison,42
2003-2004,16,Leicester,Birmingham,0:2,away,0:2,Mikael Forssell,66
2003-2004,16,Man Utd,Man City,3:1,home,1:0,Paul Scholes,7
2003-2004,16,Man Utd,Man City,3:1,home,2:0,Ruud Van Nistelrooy,34
2003-2004,16,Man Utd,Man City,3:1,away,2:1,Shaun Wright Phillips,52
2003-2004,16,Man Utd,Man City,3:1,home,3:1,Paul Scholes,53
2003-2004,16,Chelsea,Bolton,1:2,home,1:0,Hernan Crespo,22
2003-2004,16,Chelsea,Bolton,1:2,away,1:1,Bruno N'Gotty,39
2003-2004,16,Chelsea,Bolton,1:2,away,1:2,John Terry,90
2003-2004,16,Portsmouth,Everton,1:2,home,1:0,Jason Roberts,15
2003-2004,16,Portsmouth,Everton,1:2,away,1:1,Lee Carsley,27
2003-2004,16,Portsmouth,Everton,1:2,away,1:2,Wayne Rooney,42
2003-2004,16,Liverpool,Southampton,1:2,away,0:1,Brett Ormerod,6
2003-2004,16,Liverpool,Southampton,1:2,away,0:2,Michael Svensson,64
2003-2004,16,Liverpool,Southampton,1:2,home,1:2,Emile Heskey,75
2003-2004,16,Newcastle,Spurs,4:0,home,1:0,Laurent Robert,35
2003-2004,16,Newcastle,Spurs,4:0,home,2:0,Laurent Robert,55
2003-2004,16,Newcastle,Spurs,4:0,home,3:0,Alan Shearer,59
2003-2004,16,Newcastle,Spurs,4:0,home,4:0,Alan Shearer,66
2003-2004,16,Aston Villa,Wolves,3:2,home,1:0,Juan Pablo Angel,21
2003-2004,16,Aston Villa,Wolves,3:2,home,2:0,Juan Pablo Angel,24
2003-2004,16,Aston Villa,Wolves,3:2,away,2:1,Alex Rae,36
2003-2004,16,Aston Villa,Wolves,3:2,home,3:1,Gareth Barry,48
2003-2004,16,Aston Villa,Wolves,3:2,away,3:2,Mark Kennedy,80
2003-2004,16,Arsenal,Blackburn,1:0,home,1:0,Dennis Bergkamp,11
2003-2004,16,Leeds,Fulham,3:2,home,1:0,Michael Duberry,41
2003-2004,16,Leeds,Fulham,3:2,home,2:0,Mark Viduka,45
2003-2004,16,Leeds,Fulham,3:2,away,2:1,Louis Saha,47
2003-2004,16,Leeds,Fulham,3:2,away,2:2,Louis Saha,86
2003-2004,16,Leeds,Fulham,3:2,home,3:2,Dominic Matteo,88
2003-2004,17,Bolton,Arsenal,1:1,away,0:1,Robert Pires,57
2003-2004,17,Bolton,Arsenal,1:1,home,1:1,Henrik Pedersen,83
2003-2004,17,Blackburn,Aston Villa,0:2,away,0:1,Stefan Moore,62
2003-2004,17,Blackburn,Aston Villa,0:2,away,0:2,Juan Pablo Angel,75
2003-2004,17,Fulham,Chelsea,0:1,away,0:1,Hernan Crespo,62
2003-2004,17,Everton,Leicester,3:2,home,1:0,Steve Howey,33
2003-2004,17,Everton,Leicester,3:2,away,1:1,Les Ferdinand,45
2003-2004,17,Everton,Leicester,3:2,away,1:2,James Scowcroft,58
2003-2004,17,Everton,Leicester,3:2,home,2:2,Wayne Rooney,71
2003-2004,17,Everton,Leicester,3:2,home,3:2,Tomasz Radzinski,79
2003-2004,17,Southampton,Portsmouth,3:0,home,1:0,Jason Dodd,34
2003-2004,17,Southampton,Portsmouth,3:0,home,2:0,Marians Pahars,67
2003-2004,17,Southampton,Portsmouth,3:0,home,3:0,James Beattie,90
2003-2004,17,Spurs,Man Utd,1:2,away,0:1,John O'Shea,15
2003-2004,17,Spurs,Man Utd,1:2,away,0:2,Ruud Van Nistelrooy,25
2003-2004,17,Spurs,Man Utd,1:2,home,1:2,Gustavo Poyet,63
2003-2004,17,Man City,Leeds,1:1,away,0:1,Mark Viduka,24
2003-2004,17,Man City,Leeds,1:1,home,1:1,Antoine Sibierski,82
2003-2004,17,Wolves,Liverpool,1:1,away,0:1,Bruno Cheyrou,42
2003-2004,17,Wolves,Liverpool,1:1,home,1:1,Kenny Miller,90
2003-2004,17,Birmingham,Middlesbrough,3:1,home,1:0,Martin Taylor,23
2003-2004,17,Birmingham,Middlesbrough,3:1,home,2:0,Robbie Savage,57
2003-2004,17,Birmingham,Middlesbrough,3:1,away,2:1,Szilard Nemeth,75
2003-2004,17,Birmingham,Middlesbrough,3:1,home,3:1,Mikael Forssell,79
2003-2004,18,Fulham,Southampton,2:0,home,1:0,Louis Saha,19
2003-2004,18,Fulham,Southampton,2:0,home,2:0,Louis Saha,63
2003-2004,18,Arsenal,Wolves,3:0,home,1:0,Jody Craddock,13
2003-2004,18,Arsenal,Wolves,3:0,home,2:0,Thierry Henry,20
2003-2004,18,Arsenal,Wolves,3:0,home,3:0,Thierry Henry,89
2003-2004,18,Charlton,Chelsea,4:2,home,1:0,Hermann Hreidarsson,1
2003-2004,18,Charlton,Chelsea,4:2,away,1:1,John Terry,10
2003-2004,18,Charlton,Chelsea,4:2,home,2:1,Matt Holland,35
2003-2004,18,Charlton,Chelsea,4:2,home,3:1,Jonatan Johansson,48
2003-2004,18,Charlton,Chelsea,4:2,home,4:1,Jason Euell,53
2003-2004,18,Charlton,Chelsea,4:2,away,4:2,Eidur Gudjohnsen,73
2003-2004,18,Portsmouth,Spurs,2:0,home,1:0,Patrik Berger,52
2003-2004,18,Portsmouth,Spurs,2:0,home,2:0,Patrik Berger,68
2003-2004,18,Blackburn,Middlesbrough,2:2,home,1:0,Markus Babbel,3
2003-2004,18,Blackburn,Middlesbrough,2:2,away,1:1,Juninho Paulista,31
2003-2004,18,Blackburn,Middlesbrough,2:2,away,1:2,Juninho Paulista,51
2003-2004,18,Blackburn,Middlesbrough,2:2,home,2:2,Markus Babbel,90
2003-2004,18,Birmingham,Man City,2:1,away,0:1,Robbie Fowler,14
2003-2004,18,Birmingham,Man City,2:1,home,1:1,Jeff Kenna,81
2003-2004,18,Birmingham,Man City,2:1,home,2:1,Mikael Forssell,87
2003-2004,18,Man Utd,Everton,3:2,home,1:0,Nicky Butt,9
2003-2004,18,Man Utd,Everton,3:2,away,1:1,Gary Neville,13
2003-2004,18,Man Utd,Everton,3:2,home,2:1,Kleberson,44
2003-2004,18,Man Utd,Everton,3:2,home,3:1,David Bellion,68
2003-2004,18,Man Utd,Everton,3:2,away,3:2,Duncan Ferguson,90
2003-2004,18,Leicester,Newcastle,1:1,home,1:0,Paul Dickov,67
2003-2004,18,Leicester,Newcastle,1:1,away,1:1,Darren Ambrose,90
2003-2004,18,Liverpool,Bolton,3:1,home,1:0,Sami Hyypia,30
2003-2004,18,Liverpool,Bolton,3:1,home,2:0,Florent Sinama Pongolle,47
2003-2004,18,Liverpool,Bolton,3:1,home,3:0,Vladimir Smicer,54
2003-2004,18,Liverpool,Bolton,3:1,away,3:1,Henrik Pedersen,85
2003-2004,19,Chelsea,Portsmouth,3:0,home,1:0,Wayne Bridge,65
2003-2004,19,Chelsea,Portsmouth,3:0,home,2:0,Frank Lampard,73
2003-2004,19,Chelsea,Portsmouth,3:0,home,3:0,Njitap Geremi,82
2003-2004,19,Newcastle,Blackburn,0:1,away,0:1,Paul Gallagher,72
2003-2004,19,Everton,Birmingham,1:0,home,1:0,Wayne Rooney,69
2003-2004,19,Man City,Liverpool,2:2,home,1:0,Nicolas Anelka,30
2003-2004,19,Man City,Liverpool,2:2,away,1:1,Vladimir Smicer,66
2003-2004,19,Man City,Liverpool,2:2,away,1:2,Dietmar Hamann,80
2003-2004,19,Man City,Liverpool,2:2,home,2:2,Robbie Fowler,90
2003-2004,19,Spurs,Charlton,0:1,away,0:1,Carlton Cole,69
2003-2004,19,Aston Villa,Fulham,3:0,home,1:0,Juan Pablo Angel,33
2003-2004,19,Aston Villa,Fulham,3:0,home,2:0,Darius Vassell,67
2003-2004,19,Aston Villa,Fulham,3:0,home,3:0,Darius Vassell,82
2003-2004,19,Wolves,Leeds,3:1,away,0:1,Michael Duberry,3
2003-2004,19,Wolves,Leeds,3:1,home,1:1,Alan Smith,18
2003-2004,19,Wolves,Leeds,3:1,home,2:1,Steffen Iversen,48
2003-2004,19,Wolves,Leeds,3:1,home,3:1,Steffen Iversen,90
2003-2004,19,Bolton,Leicester,2:2,away,0:1,Marcus Bent,18
2003-2004,19,Bolton,Leicester,2:2,home,1:1,Bruno N'Gotty,35
2003-2004,19,Bolton,Leicester,2:2,home,2:1,Ivan Campo,54
2003-2004,19,Bolton,Leicester,2:2,away,2:2,Les Ferdinand,90
2003-2004,19,Middlesbrough,Man Utd,0:1,away,0:1,Danny Mills,14
2003-2004,19,Southampton,Arsenal,0:1,away,0:1,Robert Pires,35
2003-2004,20,Aston Villa,Portsmouth,2:1,home,1:0,Juan Pablo Angel,22
2003-2004,20,Aston Villa,Portsmouth,2:1,away,1:1,Yakubu Aiyegbeni,49
2003-2004,20,Aston Villa,Portsmouth,2:1,home,2:1,Darius Vassell,85
2003-2004,20,Wolves,Blackburn,2:2,away,0:1,Andy Cole,14
2003-2004,20,Wolves,Blackburn,2:2,home,1:1,Paul Butler,63
2003-2004,20,Wolves,Blackburn,2:2,home,2:1,Alex Rae,72
2003-2004,20,Wolves,Blackburn,2:2,away,2:2,Dwight Yorke,78
2003-2004,20,Man City,Charlton,1:1,home,1:0,Robbie Fowler,39
2003-2004,20,Man City,Charlton,1:1,away,1:1,Paolo Di Canio,84
2003-2004,20,Middlesbrough,Fulham,2:1,home,1:0,Joseph Desire Job,15
2003-2004,20,Middlesbrough,Fulham,2:1,home,2:0,Szilard Nemeth,67
2003-2004,20,Middlesbrough,Fulham,2:1,away,2:1,Barry Hayles,90
2003-2004,20,Newcastle,Leeds,1:0,home,1:0,Alan Shearer,4
2003-2004,20,Spurs,Birmingham,4:1,home,1:0,Stephane Dalmat,10
2003-2004,20,Spurs,Birmingham,4:1,home,2:0,Stephane Dalmat,24
2003-2004,20,Spurs,Birmingham,4:1,home,3:0,Simon Davies,39
